;N°;CODIGO;PO4;DQO;SST;DBO;AMONIACO;NITRITO;NITRATO
T0;semana 1;S1;1.7924;246.5;118.0;195.53;33.029;0.8388;7.66
;semana 2;S2;12.6874;341.5;130.0;224.47;49.624;0.5594;5.83
;semana 3;S3;10.2272;481.5;93.0;127.11;45.113;1.4660;8.02
;semana 4;S4;5.7588;886.5;124.0;169.21;48.013;1.3405;6.20
T01;semana 1;S1;7.586;206.5;87.0;179.88;32.223;0.4939;4.41
;semana 2;S2;4.852;256.5;90.0;206.52;41.487;0.4995;3.68
;semana 3;S3;8.147;156.5;78.0;111.85;39.474;1.0162;3.75
;semana 4;S4;5.741;276.5;49.0;147.21;42.293;0.0983;2.95
T02;semana 1;S1;7.4156;206.5;8.0;166.20;31.659;2.8630;10.44
;semana 2;S2;6.0098;141.5;11.0;175.09;33.512;0.0633;0.57
;semana 3;S3;6.9136;131.5;57.0;91.52;30.854;0.0234;9.70
;semana 4;S4;10.3277;256.5;32.0;123.52;31.095;0.0291;2.76
T03;semana 1;S1;12.1853;241.5;20.0;129.05;45.596;2.2586;8.32
;semana 2;S2;4.4534;151.5;52.0;145.91;27.068;2.5779;11.31
;semana 3;S3;5.7588;171.5;31.0;73.72;43.985;0.0177;8.39
;semana 4;S4;10.5285;191.5;22.0;108.29;23.040;0.0177;10.58
T04;semana 1;S1;6.5119;136.5;12.0;132.96;31.659;2.3840;8.24
;semana 2;S2;6.3613;136.5;41.0;139.17;37.298;0.0405;0.31
;semana 3;S3;6.9136;161.5;51.0;76.26;30.854;0.0291;6.78
;semana 4;S4;10.6791;251.5;34.0;98.14;33.271;0.0234;3.05
